Designator,Mid X,Mid Y,Rotation,Layer
C1,124.86,-84.765,180.0,top
C10,74.1,-142.5,270.0,top
C11,81.85,-141.25,90.0,top
C12,84.85,-125.25,270.0,top
C13,78.85,-125.25,270.0,top
C14,72.85,-125.25,270.0,top
C15,96.1,-144.0,90.0,top
C16,91.6,-144.0,90.0,top
C17,221.999999,-90.625,270.0,top
C18,226.499999,-90.625,270.0,top
C19,243.65,-92.25,90.0,top
C2,119.9,-84.765,0.0,top
C20,241.65,-92.25,90.0,top
C21,239.65,-92.25,90.0,top
C22,237.65,-92.25,90.0,top
C23,235.9,-93.5,270.0,top
C24,232.9,-109.5,90.0,top
C25,238.9,-109.499999,90.0,top
C26,244.9,-109.499999,90.0,top
C27,89.125,-106.6,0.0,top
C270,81.4,-93.5,0.0,top
C271,81.4,-87.8,0.0,top
C272,81.4,-81.9,0.0,top
C273,81.4,-105.8,0.0,top
C274,81.4,-111.8,0.0,top
C275,81.4,-117.7,0.0,top
C3,215.9,-63.25,180.0,top
C4,214.425,-61.35,180.0,top
C44,85.9,-96.8,0.0,top
C45,85.9,-94.5,0.0,top
C46,86.0,-104.3,0.0,top
C47,78.2,-105.5,0.0,top
C48,61.8,-108.0,0.0,top
C49,74.2,-101.0,180.0,top
C5,216.5,-83.0,180.0,top
C50,61.8,-106.0,0.0,top
C51,78.2,-94.4,0.0,top
C52,61.8,-91.9,0.0,top
C53,74.2,-99.0,180.0,top
C54,61.8,-93.9,0.0,top
C6,217.1,-73.075,270.0,top
C7,80.1,-142.5,270.0,top
C8,78.1,-142.5,270.0,top
C9,76.1,-142.5,270.0,top
D1,224.5,-77.0,90.0,top
D2,89.75,-137.75,180.0,top
D3,228.0,-97.0,0.0,top
J1,182.525,-145.025,270.0,top
J3,55.625,-105.75,270.0,top
J4,55.625,-91.65,270.0,top
J9,238.725,-97.475,0.0,top
L1,224.5,-67.8,270.0,top
L2,68.0,-110.6,180.0,top
L3,68.0,-103.5,180.0,top
L4,68.0,-89.3,180.0,top
L5,68.0,-96.4,180.0,top
L6,93.1,-127.75,90.0,top
L7,224.650001,-107.0,270.0,top
R1,158.6,-73.5,0.0,top
R10,99.1,-144.0,90.0,top
R11,97.6,-144.0,270.0,top
R12,84.35,-147.5,180.0,top
R13,93.85,-144.75,180.0,top
R14,81.85,-144.25,90.0,top
R15,81.85,-147.25,90.0,top
R16,224.250001,-89.85,0.0,top
R17,218.999999,-90.625,270.0,top
R18,220.499999,-90.625,90.0,top
R19,235.899999,-90.5,270.0,top
R2,161.6,-73.5,0.0,top
R20,235.899999,-87.5,270.0,top
R21,233.399999,-87.25,0.0,top
R4,219.4,-74.2,0.0,top
R5,219.4,-75.7,180.0,top
R6,215.6,-76.1,270.0,top
R7,214.1,-76.1,90.0,top
R8,213.0,-67.8,270.0,top
R9,217.1,-76.1,90.0,top
U1,150.0,-100.0,270.0,bottom
U13,80.4,-100.0,90.0,top
U2,155.0,-100.0,180.0,top
U3,122.4,-78.4,270.0,top
U4,216.5,-67.8,270.0,top
U5,86.35,-144.0,0.0,top
U6,231.399999,-90.75,180.0,top
