Designator,Mid X,Mid Y,Rotation,Layer
R18,121.6,-193.5,180.0,bottom
R19,126.9,-148.9,180.0,bottom
R2,111.3,-158.8,270.0,bottom
R20,126.9,-150.4,180.0,bottom
R21,126.9,-159.4,180.0,bottom
R22,126.9,-160.9,180.0,bottom
R23,126.9,-166.9,180.0,bottom
R24,126.9,-168.4,180.0,bottom
R245,117.85,-138.45,270.0,bottom
R246,242.05,-118.050001,0.0,bottom
R249,245.05,-118.050001,0.0,bottom
R25,126.9,-177.4,180.0,bottom
R252,117.85,-135.45,270.0,bottom
R26,126.9,-178.9,180.0,bottom
R27,126.9,-184.9,180.0,bottom
R28,126.9,-186.4,180.0,bottom
R29,126.89,-195.4,180.0,bottom
R3,111.3,-167.8,270.0,bottom
R30,126.9,-196.9,180.0,bottom
R31,129.9,-150.4,0.0,bottom
R32,129.9,-160.9,0.0,bottom
R33,129.9,-168.4,0.0,bottom
R34,129.9,-178.9,0.0,bottom
R35,129.9,-186.4,0.0,bottom
R36,129.9,-196.9,0.0,bottom
R37,129.9,-148.9,180.0,bottom
R38,129.9,-159.4,180.0,bottom
R39,129.9,-166.9,180.0,bottom
R4,111.3,-176.8,270.0,bottom
R40,129.9,-177.4,180.0,bottom
R41,129.9,-184.9,180.0,bottom
R42,129.9,-195.4,180.0,bottom
R43,178.7,-147.1,0.0,bottom
R44,172.9,-145.8,270.0,bottom
R45,178.7,-145.6,0.0,bottom
R46,178.7,-148.6,0.0,bottom
R47,170.7,-160.7,90.0,bottom
R48,172.2,-160.7,270.0,bottom
R49,178.7,-150.1,0.0,bottom
R5,111.3,-185.8,270.0,bottom
R50,175.2,-160.7,270.0,bottom
R51,178.7,-151.7,180.0,bottom
R52,178.7,-153.7,180.0,bottom
R53,160.8,-159.2,180.0,top
R54,165.9,-160.7,270.0,bottom
R55,151.1,-139.2,270.0,top
R56,167.5,-160.7,270.0,bottom
R57,150.1,-118.2,270.0,top
R58,137.04,-180.0,0.0,bottom
R59,137.04,-178.5,0.0,bottom
R6,111.3,-194.8,270.0,bottom
R60,148.84,-179.2,270.0,bottom
R61,150.34,-179.2,90.0,bottom
R62,233.400001,-178.9,90.0,bottom
R63,234.700001,-173.1,0.0,bottom
R64,234.900001,-178.9,90.0,bottom
R65,231.900001,-178.9,90.0,bottom
R66,219.8,-170.9,180.0,bottom
R67,219.8,-172.4,0.0,bottom
R68,230.400001,-178.9,90.0,bottom
R69,219.8,-175.4,0.0,bottom
R7,118.6,-148.5,0.0,bottom
R70,228.800001,-178.9,270.0,bottom
R71,226.800001,-178.9,270.0,bottom
R72,221.3,-161.0,90.0,top
R73,219.8,-166.1,0.0,bottom
R74,241.3,-151.3,180.0,top
R75,219.8,-167.7,0.0,bottom
R76,262.3,-150.3,180.0,top
R77,230.7,-111.500001,0.0,bottom
R78,221.7,-111.500001,0.0,bottom
R79,212.7,-111.500001,0.0,bottom
R8,118.6,-157.5,0.0,bottom
R80,203.7,-111.500001,0.0,bottom
R81,194.7,-111.500001,0.0,bottom
R82,185.7,-111.500001,0.0,bottom
R83,232.0,-118.800001,90.0,bottom
R84,223.0,-118.800001,90.0,bottom
R85,214.0,-118.800001,90.0,bottom
R86,205.0,-118.800001,90.0,bottom
R87,196.0,-118.800001,90.0,bottom
R88,187.0,-118.800001,90.0,bottom
R89,232.0,-121.800001,270.0,bottom
R9,118.6,-166.5,0.0,bottom
R90,223.0,-121.800001,270.0,bottom
R91,214.0,-121.800001,270.0,bottom
R92,205.0,-121.800001,270.0,bottom
R93,196.0,-121.800001,270.0,bottom
R94,187.0,-121.800001,270.0,bottom
R95,231.6,-127.1,270.0,bottom
R96,230.1,-127.1,270.0,bottom
R97,221.1,-127.1,270.0,bottom
R98,219.6,-127.1,270.0,bottom
R99,213.6,-127.1,270.0,bottom
SW1,140.2,-164.8,270.0,bottom
SW2,215.7,-140.4,0.0,bottom
U1,119.3,-152.1,0.0,bottom
U10,171.7,-152.3,0.0,bottom
U11,156.6,-112.7,270.0,top
U12,291.5,-133.4,0.0,bottom
U15,145.24,-186.0,270.0,bottom
U16,228.200001,-171.9,90.0,bottom
U17,267.8,-156.8,180.0,top
U18,228.4,-119.500001,90.0,bottom
U19,219.4,-119.500001,90.0,bottom
U2,119.3,-161.1,0.0,bottom
U20,210.4,-119.500001,90.0,bottom
U21,201.4,-119.500001,90.0,bottom
U22,192.4,-119.500001,90.0,bottom
U23,183.4,-119.500001,90.0,bottom
U24,225.6,-128.7,180.0,bottom
U25,207.6,-128.7,180.0,bottom
U26,189.6,-128.7,180.0,bottom
U28,194.5,-145.44,0.0,bottom
U3,119.3,-170.1,0.0,bottom
U4,119.3,-179.1,0.0,bottom
U5,119.3,-188.1,0.0,bottom
U59,244.3,-114.6,180.0,bottom
U6,119.3,-197.1,0.0,bottom
U62,114.4,-136.2,90.0,bottom
U7,128.5,-154.9,90.0,bottom
U8,128.5,-172.9,90.0,bottom
U9,128.5,-190.9,90.0,bottom
Y1,144.74,-175.8,0.0,bottom
Y2,204.7,-144.94,90.0,bottom
